employee_id,store_id,department_id,first_name,last_name,job_title,hire_date,hourly_rate,employment_status
48,3,6,Employee48,Last48,Supervisor,2023-01-01,33.95,Active
49,3,6,Employee49,Last49,Stock Associate,2023-01-01,29.25,Active
50,3,5,Employee50,Last50,Stock Associate,2023-01-01,22.02,Active
51,3,2,Employee51,Last51,Cashier,2023-01-01,23.05,Active
52,3,3,Employee52,Last52,Cashier,2023-01-01,21.46,Active
53,3,8,Employee53,Last53,Stock Associate,2023-01-01,29.59,Active
54,3,5,Employee54,Last54,Associate,2023-01-01,31.32,Active
55,3,5,Employee55,Last55,Cashier,2023-01-01,23.77,Active
56,3,5,Employee56,Last56,Associate,2023-01-01,29.33,Active
57,3,3,Employee57,Last57,Stock Associate,2023-01-01,18.73,Active
58,3,1,Employee58,Last58,Stock Associate,2023-01-01,29.16,Active
59,3,3,Employee59,Last59,Supervisor,2023-01-01,19.64,Active
60,3,1,Employee60,Last60,Stock Associate,2023-01-01,25.51,Active
61,3,8,Employee61,Last61,Stock Associate,2023-01-01,20.95,Active
62,3,1,Employee62,Last62,Stock Associate,2023-01-01,33.06,Active
63,4,8,Employee63,Last63,Associate,2023-01-01,31.15,Active
64,4,7,Employee64,Last64,Supervisor,2023-01-01,19.19,Active
65,4,1,Employee65,Last65,Cashier,2023-01-01,20.39,Active
66,4,5,Employee66,Last66,Associate,2023-01-01,33.9,Active
67,4,2,Employee67,Last67,Supervisor,2023-01-01,27.7,Active
68,4,4,Employee68,Last68,Supervisor,2023-01-01,25.21,Active
69,4,8,Employee69,Last69,Stock Associate,2023-01-01,31.76,Active
70,4,7,Employee70,Last70,Stock Associate,2023-01-01,27.1,Active
71,4,1,Employee71,Last71,Associate,2023-01-01,33.16,Active
72,4,4,Employee72,Last72,Cashier,2023-01-01,22.23,Active
73,4,2,Employee73,Last73,Cashier,2023-01-01,21.84,Active
74,4,2,Employee74,Last74,Cashier,2023-01-01,18.04,Active
75,4,8,Employee75,Last75,Supervisor,2023-01-01,22.66,Active
76,4,4,Employee76,Last76,Stock Associate,2023-01-01,29.31,Active
77,4,8,Employee77,Last77,Associate,2023-01-01,29.0,Active
78,4,5,Employee78,Last78,Cashier,2023-01-01,24.8,Active
79,5,4,Employee79,Last79,Cashier,2023-01-01,32.53,Active
80,5,3,Employee80,Last80,Associate,2023-01-01,18.95,Active
81,5,5,Employee81,Last81,Stock Associate,2023-01-01,25.03,Active
82,5,8,Employee82,Last82,Stock Associate,2023-01-01,29.2,Active
83,5,5,Employee83,Last83,Supervisor,2023-01-01,25.0,Active
84,5,1,Employee84,Last84,Supervisor,2023-01-01,29.75,Active
85,5,5,Employee85,Last85,Associate,2023-01-01,19.46,Active
86,5,1,Employee86,Last86,Stock Associate,2023-01-01,27.22,Active
87,5,3,Employee87,Last87,Supervisor,2023-01-01,26.3,Active
88,5,8,Employee88,Last88,Stock Associate,2023-01-01,20.9,Active
89,5,7,Employee89,Last89,Supervisor,2023-01-01,33.5,Active
90,5,8,Employee90,Last90,Stock Associate,2023-01-01,24.53,Active
91,5,6,Employee91,Last91,Associate,2023-01-01,31.72,Active
92,5,6,Employee92,Last92,Supervisor,2023-01-01,29.1,Active
93,5,5,Employee93,Last93,Supervisor,2023-01-01,31.02,Active
94,5,1,Employee94,Last94,Supervisor,2023-01-01,19.41,Active
